CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKM&M31-AUG-2023,1389.8500000,1388.6500000,1388.6500000,1372.9500000,1377.0000000,1393.2500000,0.2400000,74.0000000,11200.0000000,16.0000000,15419110.0000000
FUTSTKICICIPRULI27-JUL-2023,516.2000000,507.8500000,511.1000000,499.3000000,500.3000000,500.3000000,-3.0800000,139.0000000,237000.0000000,158.0000000,118994100.0000000
FUTSTKTVSMOTOR27-JUL-2023,1320.5000000,1322.0000000,1338.0000000,1321.9500000,1329.0500000,1329.0500000,0.6400000,354.0000000,100100.0000000,143.0000000,133276325.0000000
FUTSTKHINDUNILVR29-JUN-2023,2673.6500000,2673.0000000,2680.0000000,2613.0000000,2622.2000000,2622.2000000,-1.9200000,30721.0000000,2184000.0000000,7280.0000000,5748520200.0000000
FUTSTKMRF31-AUG-2023,98225.1500000,98971.5500000,99400.0000000,98500.0000000,99323.9500000,99323.9500000,1.1100000,66.0000000,240.0000000,24.0000000,23778221.0000000
FUTSTKINDUSINDBK29-JUN-2023,1310.7000000,1310.7500000,1343.8000000,1305.0500000,1334.8500000,1334.8500000,1.8400000,44152.0000000,7340850.0000000,16313.0000000,9786819825.0000000
FUTSTKPNB29-JUN-2023,51.5500000,51.6000000,51.6500000,50.7000000,50.8500000,50.8500000,-1.3500000,15450.0000000,40192000.0000000,2512.0000000,2053569600.0000000
FUTSTKBATAINDIA27-JUL-2023,1597.3500000,1602.0000000,1602.0000000,1581.2000000,1590.0000000,1590.1500000,-0.4500000,172.0000000,10875.0000000,29.0000000,17286712.5000000
FUTSTKINTELLECT29-JUN-2023,577.4000000,575.1000000,587.3500000,574.5000000,579.3500000,579.3500000,0.3300000,2930.0000000,981000.0000000,981.0000000,568749650.0000000
FUTSTKABCAPITAL27-JUL-2023,173.6000000,173.6500000,177.3000000,173.6500000,176.1000000,176.1000000,1.4400000,107.0000000,583200.0000000,108.0000000,102598110.0000000
FUTSTKPETRONET29-JUN-2023,224.0000000,223.6500000,224.1500000,222.4500000,223.7000000,223.7000000,-0.1300000,4541.0000000,1698000.0000000,566.0000000,379387050.0000000
FUTSTKLICHSGFIN27-JUL-2023,375.5000000,376.7000000,376.7000000,366.5000000,367.7500000,367.7500000,-2.0600000,350.0000000,574000.0000000,287.0000000,212253100.0000000
FUTSTKRAIN29-JUN-2023,159.7000000,160.2000000,162.5000000,157.8500000,158.5000000,158.5000000,-0.7500000,3501.0000000,2723000.0000000,778.0000000,435884225.0000000
FUTSTKDEEPAKNTR27-JUL-2023,2065.5500000,2059.0500000,2078.5500000,2000.0000000,2003.4500000,2003.4500000,-3.0000000,491.0000000,70200.0000000,234.0000000,142603080.0000000
FUTIDXNIFTY29-JUN-2023,18709.9500000,18724.9500000,18739.9500000,18618.3500000,18631.5500000,18631.5500000,-0.4100000,194172.0000000,5601900.0000000,112038.0000000,104600592577.5000000
FUTSTKBSOFT27-JUL-2023,336.5000000,335.7500000,337.7000000,329.5500000,330.2500000,330.2500000,-1.8500000,177.0000000,118000.0000000,59.0000000,39252000.0000000
FUTSTKINDUSTOWER29-JUN-2023,158.3500000,160.2000000,162.2500000,156.8000000,158.2500000,158.2500000,-0.0600000,23405.0000000,13666800.0000000,4881.0000000,2175240900.0000000
FUTSTKUBL27-JUL-2023,1489.3000000,1493.1000000,1494.0500000,1486.2500000,1488.5000000,1488.5000000,-0.0500000,189.0000000,9200.0000000,23.0000000,13700080.0000000
FUTSTKSUNTV27-JUL-2023,452.9500000,455.0000000,455.0000000,447.0000000,447.2000000,447.2000000,-1.2600000,74.0000000,60000.0000000,40.0000000,27004875.0000000
