SYMBOL,PIVOT,BOTTOMCPR,TOPCPR,MOMENTUMOFSTOCK
EROSMEDIA,24.37,24.43,24.31,High
ESABINDIA,3594.83,3608.88,3580.79,Low
ESCORTS,2063.35,2065.95,2060.75,Low
ESSARSHPNG,8.75,8.75,8.75,High
ESSENTIA,6.82,6.85,6.78,High
ESTER,129.48,130.45,128.52,Low
ETHOSLTD,1226.13,1227.9,1224.37,Low
EUROBOND,135.67,136.0,135.33,Low
EUROTEXIND,9.42,9.45,9.38,High
EVEREADY,309.55,310.02,309.08,Low
EVERESTIND,820.85,824.33,817.38,Low
EXCEL,0.4,0.4,0.4,High
EXCELINDUS,849.9,849.55,850.25,Low
EXIDEIND,203.55,203.02,204.07,Low
EXPLEOSOL,1503.0,1509.35,1496.65,Low
EXXARO,126.43,126.0,126.87,Low
FACT,309.23,310.3,308.17,Low
FAIRCHEMOR,1160.87,1156.65,1165.08,Low
FAZE3Q,341.48,342.12,340.84,Low
FCL,257.43,258.7,256.17,Low
FCONSUMER,1.1,1.1,1.1,High
FCSSOFT,2.18,2.2,2.17,High
FDC,288.23,288.62,287.84,Low
FEDERALBNK,126.08,126.05,126.12,High
FELIX,121.33,121.0,121.67,Low
FIBERWEB,34.4,34.72,34.08,Low
FIDEL,71.27,70.8,71.73,Low
FIEMIND,1854.78,1845.53,1864.04,Low
FILATEX,37.58,37.65,37.52,High
FINCABLES,885.28,887.5,883.07,Low
FINEORG,4434.33,4435.25,4433.42,Low
FINOPB,205.08,205.7,204.47,Low
FINPIPE,189.75,189.38,190.12,Low
FIVESTAR,529.68,529.75,529.62,High
FLEXITUFF,28.97,28.98,28.96,High
FLFL,4.97,4.97,4.96,High
FLUOROCHEM,3313.33,3314.02,3312.64,Low
FMGOETZE,323.57,323.38,323.76,Low
FMNL,4.85,4.83,4.88,High
FOCE,512.0,512.0,512.0,High
FOCUS,595.8,592.85,598.75,Low
FOODSIN,158.33,159.0,157.67,Low
FORCEMOT,1370.67,1374.05,1367.28,Low
FORTIS,281.9,281.73,282.08,Low
FOSECOIND,2637.73,2607.5,2667.97,Low
FROG,171.8,171.15,172.45,Low
FSL,134.45,134.62,134.28,Low
FUSION,472.48,471.4,473.57,Low
GABRIEL,169.67,169.2,170.13,Low
GAEL,235.62,236.1,235.13,Low
GAIL,104.5,104.33,104.67,Low
GAL,3.02,3.02,3.01,High
GALAXYSURF,2628.55,2636.53,2620.57,Low
GALLANTT,52.67,52.73,52.61,High
GANDHITUBE,517.38,517.6,517.17,Low
GANECOS,1053.23,1058.57,1047.89,Low
GANESHBE,147.63,147.7,147.57,High
GANESHHOUC,352.05,352.77,351.33,Low
GANGAFORGE,3.7,3.67,3.72,High
GANGESSECU,106.95,107.47,106.43,Low
GARFIBRES,2999.87,3001.62,2998.11,Low
GATEWAY,64.2,64.05,64.35,Low
GATI,118.35,118.3,118.4,High
GAYAHWS,0.68,0.68,0.69,High
GEECEE,157.5,158.2,156.8,Low
GEEKAYWIRE,161.73,161.2,162.27,Low
GENCON,60.28,60.83,59.74,Low
GENESYS,346.67,345.5,347.83,Low
GENUSPAPER,13.9,13.93,13.88,High
GENUSPOWER,87.78,87.88,87.69,High
GEOJITFSL,42.87,42.9,42.83,High
GEPIL,136.0,136.4,135.6,Low
GESHIP,683.03,684.05,682.02,Low
GET&D,232.45,232.03,232.88,Low
GFLLIMITED,55.15,55.4,54.9,Low
GHCL,512.03,512.62,511.44,Low
GICHSGFIN,169.78,169.57,169.99,Low
GICL,41.2,41.6,40.8,Low
GICRE,174.1,174.32,173.88,Low
GILLANDERS,65.5,65.58,65.42,High
GILLETTE,4399.58,4401.35,4397.82,Low
GILT5YBEES,52.34,52.33,52.34,High
GINNIFILA,22.73,22.9,22.57,Low
GIPCL,98.22,97.8,98.63,Low
GISOLUTION,30.63,30.15,31.12,Low
GKWLIMITED,537.93,539.98,535.89,Low
GLAND,1108.53,1130.0,1087.07,Low
GLAXO,1287.72,1286.35,1289.08,Low
GLENMARK,618.72,615.92,621.51,Low
GLFL,2.98,3.0,2.97,High
GLOBAL,212.87,212.5,213.23,Low
GLOBALVECT,59.72,59.83,59.61,High
GLOBE,2.85,2.85,2.85,High
GLOBUSSPR,1012.68,1009.73,1015.64,Low
GLS,527.25,527.67,526.83,Low
GMBREW,563.2,564.15,562.25,Low
GMDCLTD,164.37,164.1,164.63,Low
GMMPFAUDLR,1476.72,1474.97,1478.46,Low
GMRINFRA,44.95,44.85,45.05,High
GMRP&UI,17.75,17.73,17.77,High
GNA,760.95,758.27,763.62,Low
GNFC,591.27,591.6,590.93,Low
GOACARBON,482.37,483.6,481.13,Low
GOCLCORP,303.98,304.9,303.07,Low
GOCOLORS,1117.05,1112.9,1121.2,Low
GODFRYPHLP,1735.62,1735.17,1736.06,Low
GODHA,1.22,1.2,1.23,High
GODREJAGRO,422.27,422.52,422.01,Low
GODREJCP,1009.42,1009.25,1009.58,Low
GODREJIND,467.55,466.35,468.75,Low
GODREJPROP,1311.1,1305.55,1316.65,Low
GOKEX,394.17,392.55,395.78,Low
GOKUL,29.1,29.15,29.05,High
GOKULAGRO,98.93,98.5,99.37,Low
GOLDBEES,51.4,51.39,51.42,High
GOLDIAM,143.77,143.6,143.93,Low
GOLDSHARE,51.58,51.58,51.59,High
GOLDSTAR,8.55,8.55,8.55,High
GOLDTECH,57.47,57.53,57.41,High
GOODLUCK,486.55,486.85,486.25,Low
GOODYEAR,1215.33,1215.53,1215.14,Low
GOYALALUM,21.1,21.1,21.1,High
GPIL,384.25,384.2,384.3,High
GPPL,111.02,110.47,111.56,Low
GPTINFRA,58.0,58.77,57.23,Low
GRANULES,276.82,277.07,276.56,Low
GRAPHITE,344.32,345.75,342.88,Low
GRASIM,1708.35,1704.47,1712.22,Low
GRAUWEIL,114.83,115.3,114.37,Low
GRAVITA,565.02,564.12,565.91,Low
GRCL,40.02,40.5,39.53,Low
GREAVESCOT,155.65,156.38,154.93,Low
GREENLAM,307.55,308.52,306.58,Low
GREENPANEL,327.82,328.42,327.21,Low
GREENPLY,160.98,160.43,161.54,Low
GREENPOWER,8.73,8.72,8.74,High
GRINDWELL,2073.12,2067.0,2079.23,Low
GRINFRA,1121.35,1130.03,1112.68,Low
GRMOVER,194.47,195.07,193.86,Low
GROBTEA,750.98,753.0,748.97,Low
GRPLTD,3550.32,3550.0,3550.63,Low
GRSE,508.33,509.0,507.67,Low
GRWRHITECH,642.27,640.42,644.11,Low
GSFC,168.85,169.25,168.45,Low
GSLSU,204.37,203.88,204.86,Low
GSPL,280.25,279.05,281.45,Low
GSS,199.57,200.45,198.68,Low
GSTL,103.9,103.9,103.9,High
GTL,5.25,5.28,5.22,High
GTLINFRA,0.82,0.82,0.81,High
GTPL,104.43,104.5,104.37,High
GUFICBIO,202.8,202.45,203.15,Low
GUJALKALI,689.77,689.5,690.03,Low
GUJAPOLLO,195.53,195.8,195.27,Low
GUJGASLTD,480.55,481.35,479.75,Low
GUJRAFFIA,29.42,29.25,29.58,Low
GULFOILLUB,437.35,435.8,438.9,Low
GULFPETRO,36.6,36.58,36.62,High
GULPOLY,260.85,262.0,259.7,Low
GVKPIL,2.52,2.52,2.51,High
HAL,3076.1,3077.5,3074.7,Low
HAPPSTMNDS,877.67,879.0,876.33,Low
HARDWYN,368.75,369.02,368.48,Low
HARIOMPIPE,586.88,588.98,584.79,Low
HARRMALAYA,125.55,125.25,125.85,Low
HARSHA,454.23,454.48,453.99,Low
HATHWAY,13.27,13.27,13.26,High
HATSUN,875.55,876.33,874.78,Low
HAVELLS,1259.32,1259.2,1259.43,High
HAVISHA,1.85,1.88,1.82,High
HBANKETF,441.96,441.64,442.29,Low
HBLPOWER,103.58,103.85,103.32,Low
HBSL,48.97,49.08,48.86,High
HCC,17.07,16.95,17.18,High
HCG,310.28,309.58,310.99,Low
HCL-INSYS,13.48,13.55,13.42,High
HCLTECH,1093.93,1093.22,1094.64,Low
HDFC,2712.08,2712.65,2711.52,Low
HDFC,533.33,530.5,536.17,Low
HDFCAMC,1787.15,1778.42,1795.87,Low
HDFCBANK,1642.82,1640.78,1644.86,Low
HDFCBSE500,28.36,28.3,28.43,High
HDFCGROWTH,90.13,90.25,90.02,High
HDFCLIFE,559.15,559.92,558.38,Low
HDFCLOWVOL,135.49,135.78,135.21,Low
HDFCMFGETF,52.91,52.89,52.94,High
HDFCMID150,121.72,121.41,122.03,Low
HDFCMOMENT,197.16,196.93,197.4,Low
HDFCNEXT50,406.1,405.99,406.21,High
HDFCNIF100,181.57,181.22,181.92,Low
HDFCNIFETF,197.8,197.67,197.93,Low
HDFCNIFIT,283.66,283.08,284.25,Low
HDFCPVTBAN,222.76,222.14,223.38,Low
HDFCQUAL,40.66,40.58,40.73,High
HDFCSENETF,671.41,670.64,672.18,Low
HDFCSILVER,71.23,71.16,71.3,High
HDFCSML250,97.08,96.9,97.27,Low
HDFCVALUE,93.7,93.75,93.65,High
HEADSUP,13.98,14.03,13.94,High
HEALTHY,7.95,7.96,7.94,High
HECPROJECT,36.53,35.9,37.17,Low
HEG,1233.3,1237.7,1228.9,Low
HEIDELBERG,170.47,170.6,170.33,Low
HEMIPROP,92.85,92.72,92.97,High
HERANBA,340.17,341.38,338.96,Low
HERCULES,256.38,256.7,256.07,Low
HERITGFOOD,196.0,195.2,196.8,Low
HEROMOTOCO,2708.08,2705.62,2710.54,Low
HESTERBIO,1734.02,1731.12,1736.91,Low
HEUBACHIND,318.63,318.7,318.57,High
HEXATRADEX,146.32,146.22,146.41,High
HFCL,64.95,65.0,64.9,High
HGINFRA,922.08,923.23,920.94,Low
HGS,1152.77,1147.05,1158.48,Low
HIKAL,299.42,299.33,299.51,High
HIL,2671.5,2671.9,2671.1,Low
HILTON,145.53,144.4,146.67,Low
HIMATSEIDE,89.38,90.05,88.72,Low
HINDALCO,405.18,404.4,405.97,Low
HINDCOMPOS,300.25,300.38,300.12,Low
HINDCON,88.45,88.68,88.22,Low
HINDCOPPER,101.6,101.6,101.6,High
HINDMOTORS,13.67,13.7,13.63,High
HINDOILEXP,173.3,171.35,175.25,Low
HINDPETRO,255.02,254.35,255.68,Low
HINDUNILVR,2630.37,2624.82,2635.91,Low
HINDWAREAP,414.33,414.15,414.52,Low
HINDZINC,309.37,309.88,308.86,Low
HIRECT,216.17,215.3,217.03,Low
HISARMETAL,139.5,139.82,139.18,Low
HITECH,73.53,73.65,73.42,High
HITECHCORP,182.87,183.22,182.51,Low
HITECHGEAR,259.57,260.68,258.46,Low
HLEGLAS,619.27,619.67,618.86,Low
HLVLTD,11.08,11.12,11.04,High
HMT,25.0,24.95,25.05,High
HMVL,55.5,55.83,55.17,Low
HNDFDS,610.33,613.4,607.27,Low
HNGSNGBEES,276.74,276.99,276.5,Low
HOMEFIRST,698.57,697.73,699.41,Low
HOMESFY,505.33,506.5,504.17,Low
HONAUT,39192.78,39250.8,39134.77,Low
HONDAPOWER,2340.77,2335.35,2346.18,Low
HOVS,44.1,44.28,43.92,Low
HPAL,410.02,411.1,408.93,Low
HPIL,90.35,90.53,90.18,Low
HPL,93.83,93.75,93.92,High
HSCL,119.82,118.9,120.73,Low
HTMEDIA,17.8,17.77,17.83,High
HUBTOWN,45.83,46.1,45.57,Low
HUDCO,57.02,57.1,56.93,High
HUDCO,1079.1,1079.11,1079.1,High
HUDCO,1142.67,1144.0,1141.33,Low
HUDCO,1156.37,1155.55,1157.18,Low
HUDCO,1204.33,1204.5,1204.17,Low
HUHTAMAKI,263.22,262.82,263.61,Low
HYBRIDFIN,10.85,11.0,10.7,Low
IBMFNIFTY,190.93,190.68,191.18,Low
IBREALEST,54.78,54.73,54.84,High
IBUCCREDIT,1035.0,1035.0,1035.0,High
IBUCCREDIT,999.0,999.0,999.0,High
IBUCCREDIT,1014.0,1014.0,1014.0,High
IBUCCREDIT,990.0,990.0,990.0,High
IBUCCREDIT,976.87,975.4,978.33,Low
IBUCCREDIT,839.08,833.12,845.04,Low
IBULHSGFIN,1000.0,1000.0,1000.0,High
IBULHSGFIN,111.95,111.95,111.95,High
IBULHSGFIN,955.0,955.0,955.0,High
IBULHSGFIN,960.0,960.0,960.0,High
IBULHSGFIN,953.97,957.5,950.45,Low
IBULHSGFIN,970.0,970.0,970.0,High
IBULHSGFIN,920.0,920.0,920.0,High
IBULHSGFIN,953.0,953.0,953.0,High
ICDSLTD,27.25,27.2,27.3,High
ICEMAKE,334.38,334.77,333.99,Low
ICICI10GS,216.48,216.4,216.57,High
ICICI500,25.8,25.84,25.76,High
ICICI5GSEC,52.77,52.66,52.87,High
ICICIALPLV,181.02,181.02,181.02,High
ICICIAUTO,139.86,139.69,140.02,Low
ICICIB22,62.25,62.27,62.23,High
ICICIBANK,950.63,948.8,952.47,Low
ICICIBANKN,44.38,44.49,44.27,High
ICICIBANKP,221.25,221.1,221.41,Low
ICICICOMMO,57.31,57.2,57.43,High
ICICICONSU,77.7,77.53,77.88,Low
ICICIFIN,17.26,17.25,17.26,High
ICICIFMCG,501.96,501.08,502.84,Low
ICICIGI,1083.7,1087.22,1080.18,Low
ICICIGOLD,52.93,52.93,52.94,High
ICICIINFRA,54.39,54.33,54.45,High
ICICILIQ,1000.67,1000.99,1000.36,Low
ICICILOVOL,145.37,144.94,145.81,Low
ICICIM150,124.23,124.2,124.25,High
ICICIMCAP,101.41,101.23,101.59,Low
ICICIMOM30,19.87,19.8,19.94,High
ICICINF100,197.14,197.22,197.06,High
ICICINIFTY,196.4,195.28,197.52,Low
ICICINV20,101.37,100.9,101.84,Low
ICICINXT50,41.55,41.41,41.68,Low
ICICIPHARM,79.59,79.66,79.51,High
ICICIPRULI,425.13,424.77,425.49,Low
ICICISENSX,680.93,680.4,681.45,Low
ICICISILVE,73.67,73.58,73.75,High
ICICITECH,29.4,29.36,29.45,High
ICIL,162.42,163.45,161.38,Low
ICRA,4762.55,4765.0,4760.1,Low
IDBI,55.18,55.3,55.07,High
IDBIGOLD,5511.85,5511.48,5512.23,Low
IDEA,7.02,7.0,7.03,High
IDFC,90.55,90.55,90.55,High
IDFCFIRSTB,66.53,66.4,66.67,Low
IDFNIFTYET,193.1,193.26,192.94,Low
IEL,7.88,7.9,7.87,High
IEX,158.88,158.85,158.92,High
IFBAGRO,484.68,484.88,484.49,Low
IFBIND,818.45,819.97,816.92,Low
IFCI,11.43,11.4,11.47,High
IFCI,1052.67,1052.75,1052.58,High
IFCI,1030.57,1030.42,1030.71,Low
IFGLEXPOR,271.98,271.18,272.79,Low
IGARASHI,422.45,423.23,421.67,Low
IGL,473.22,474.0,472.43,Low
IGPL,476.42,473.12,479.71,Low
IIFL,453.9,453.68,454.13,Low
IIFL,1045.99,1044.99,1046.99,Low
IIFL,1001.67,1001.5,1001.83,Low
IIFL,1376.67,1375.0,1378.33,Low
IIFL,1009.96,1009.94,1009.98,High
IIFL,993.96,993.45,994.48,Low
IIFL,1111.0,1111.0,1111.0,High
IIFL,1044.67,1045.5,1043.85,Low
IIFL,1106.67,1095.0,1118.33,Low
IIFL,969.43,968.67,970.18,Low
IIFL,1036.0,1035.0,1037.01,Low
IIFL,984.33,984.0,984.67,Low
IIFL,967.7,968.75,966.65,Low
IIFLSEC,57.48,57.42,57.54,High
IIHFL,1060.0,1060.0,1060.0,High
IIHFL,998.99,998.74,999.23,Low
IIHFL,999.99,999.99,999.99,High
IIHFL,1051.82,1051.22,1052.41,Low
IIHFL,954.67,953.5,955.83,Low
IIHFL,929.27,923.0,935.53,Low
IIHFL,960.0,960.0,960.0,High
IITL,87.8,88.12,87.47,Low
IL&FSENGG,12.25,12.28,12.22,High
IL&FSTRANS,3.42,3.4,3.43,High
IMAGICAA,42.55,42.42,42.67,Low
IMC1,253.1,253.09,253.1,High
IMC1,255.0,255.0,255.0,High
IMC1,254.57,254.57,254.56,High
IMFA,280.92,281.82,280.01,Low
IMPAL,747.17,743.77,750.56,Low
IMPEXFERRO,3.58,3.6,3.57,High
INCREDFIN,990.0,990.0,990.0,High
INCREDIBLE,20.52,20.67,20.36,Low
INDBANK,25.87,25.9,25.83,High
INDHOTEL,371.93,371.73,372.14,Low
INDIACEM,190.4,189.65,191.15,Low
INDIAGLYCO,627.53,624.38,630.69,Low
INDIAMART,5611.98,5623.73,5600.24,Low
INDIANB,285.28,284.82,285.74,Low
INDIANCARD,238.57,239.0,238.13,Low
INDIANHUME,138.82,138.5,139.13,Low
INDIGO,2266.58,2266.47,2266.69,High
INDIGOPNTS,1397.9,1395.03,1400.78,Low
INDIGRID,137.74,137.75,137.72,High
INDIGRID,1009.01,1009.16,1008.85,Low
INDIGRID,990.33,990.5,990.17,Low
INDNIPPON,395.47,396.45,394.48,Low
INDOAMIN,111.42,111.7,111.13,Low
INDOBORAX,123.13,123.12,123.14,High
INDOCO,348.93,347.85,350.02,Low
INDORAMA,43.07,43.02,43.11,High
INDOSTAR,136.25,136.0,136.5,Low
INDOTECH,200.07,200.82,199.31,Low
INDOTHAI,266.45,266.68,266.22,Low
INDOWIND,10.95,11.0,10.9,High
INDRAMEDCO,82.67,82.9,82.43,Low
INDSWFTLAB,68.52,67.92,69.11,Low
INDSWFTLTD,8.47,8.5,8.43,High
INDTERRAIN,56.07,56.9,55.23,Low
INDUSINDBK,1240.2,1236.3,1244.1,Low
INDUSTOWER,145.97,146.5,145.43,Low
INFIBEAM,14.3,14.25,14.35,High
INFINIUM,281.7,281.7,281.7,High
INFOBEAN,462.45,462.77,462.12,Low
INFOMEDIA,4.65,4.65,4.65,High
INFRABEES,556.78,557.63,555.92,Low
INFY,1265.0,1263.05,1266.95,Low
INGERRAND,2490.58,2495.03,2486.14,Low
INNOVANA,302.0,302.0,302.0,High
INNOVATIVE,2.4,2.38,2.42,High
INOXGREEN,48.03,48.3,47.77,Low
INOXWIND,114.58,115.05,114.12,Low
INSECTICID,455.78,455.98,455.59,Low
INSPIRISYS,55.67,55.15,56.18,Low
INTELLECT,547.02,547.17,546.86,Low
INTENTECH,65.07,64.92,65.21,Low
INTLCONV,54.02,54.08,53.96,High
INVENTURE,1.87,1.88,1.86,High
IOB,24.35,24.38,24.32,High
IOC,85.7,85.53,85.88,Low
IOLCP,436.72,434.5,438.93,Low
IONEXCHANG,3886.75,3875.47,3898.03,Low
IPCALAB,675.5,675.75,675.25,Low
IPL,219.57,219.85,219.28,Low
IRB,29.02,29.1,28.93,High
IRBINVIT,70.74,70.69,70.79,High
IRCON,78.9,79.2,78.6,Low
IRCTC,610.48,610.55,610.42,High
IREDA,1185.0,1185.0,1185.0,High
IREDA,1306.67,1305.0,1308.33,Low
IRFC,33.6,33.65,33.55,High
IRFC,1142.33,1142.5,1142.17,Low
IRFC,1108.0,1108.0,1108.0,High
IRFC,1026.5,1026.25,1026.75,Low
IRFC,1177.0,1177.0,1177.0,High
IRFC,1025.0,1025.01,1025.0,High
IRFC,1198.66,1198.99,1198.33,Low
IRFC,1077.13,1075.74,1078.51,Low
IRFC,1158.07,1157.05,1159.09,Low
IRFC,1165.56,1165.56,1165.56,High
IRIS,81.03,81.5,80.57,Low
IRISDOREME,378.22,380.5,375.93,Low
ISEC,493.18,493.5,492.87,Low
ISFT,136.45,137.68,135.23,Low
ISGEC,481.25,482.32,480.18,Low
ISHAN,25.67,25.62,25.71,High
ISMTLTD,71.17,71.58,70.76,Low
ITBEES,29.42,29.37,29.48,High
ITC,418.1,417.23,418.98,Low
ITDC,326.78,327.85,325.72,Low
ITDCEM,148.52,148.23,148.81,Low
ITI,104.45,104.38,104.53,High
IVC,6.13,6.15,6.12,High
IVP,177.97,179.65,176.28,Low
IVZINGOLD,5374.03,5371.55,5376.52,Low
IWEL,1330.4,1325.5,1335.3,Low
IZMO,150.43,149.98,150.89,Low
J&KBANK,54.12,54.02,54.21,High
JAGRAN,68.25,68.47,68.03,Low
JAGSNPHARM,348.73,349.52,347.94,Low
JAIBALAJI,79.03,78.75,79.32,Low
JAICORPLTD,167.4,167.1,167.7,Low
JAIPURKURT,86.35,86.1,86.6,Low
JAKHARIA,40.5,40.5,40.5,High
JALAN,8.35,8.35,8.35,High
JAMNAAUTO,100.83,100.92,100.74,High
JASH,1012.45,1017.5,1007.4,Low
JAYAGROGN,177.7,178.4,177.0,Low
JAYBARMARU,181.25,181.3,181.2,High
JAYNECOIND,23.22,23.18,23.26,High
JAYSREETEA,88.75,88.9,88.6,Low
JBCHEPHARM,1996.22,1999.65,1992.78,Low
JBMA,758.72,757.65,759.78,Low
JCHAC,1091.95,1094.7,1089.2,Low
JETAIRWAYS,56.67,56.73,56.61,High
JETFREIGHT,10.92,10.93,10.91,High
JFLLIFE,42.52,42.52,42.51,High
JHS,18.02,18.1,17.93,High
JINDALPHOT,351.83,350.02,353.64,Low
JINDALPOLY,705.57,707.5,703.63,Low
JINDALSAW,187.9,188.4,187.4,Low
JINDALSTEL,521.5,521.05,521.95,Low
JINDRILL,286.15,286.25,286.05,High
JINDWORLD,363.73,363.12,364.34,Low
JISLDVREQS,19.17,19.25,19.08,High
JISLJALEQS,37.87,37.85,37.88,High
JITFINFRA,146.45,146.03,146.88,Low
JKCEMENT,3000.3,2988.9,3011.7,Low
JKIL,269.5,270.1,268.9,Low
JKLAKSHMI,787.5,790.58,784.42,Low
JKPAPER,358.27,359.23,357.31,Low
JKTYRE,177.75,179.6,175.9,Low
JMA,67.38,67.42,67.34,High
JMFINANCIL,66.92,66.35,67.48,Low
JOCIL,185.47,185.82,185.11,Low
JPASSOCIAT,6.98,6.97,6.99,High
JPOLYINVST,553.98,549.4,558.57,Low
JPPOWER,5.7,5.7,5.7,High
JSL,287.35,288.52,286.17,Low
JSLL,331.55,331.25,331.85,Low
JSWENERGY,244.37,244.65,244.08,Low
JSWHL,4158.58,4153.12,4164.04,Low
JSWISPL,31.08,31.0,31.17,High
JSWSTEEL,690.5,688.83,692.17,Low
JTEKTINDIA,124.43,124.0,124.87,Low
JTLIND,312.87,312.45,313.28,Low
JUBLFOOD,469.5,469.9,469.1,Low
JUBLINDS,477.92,480.55,475.28,Low
JUBLINGREA,388.57,388.6,388.53,High
JUBLPHARMA,343.52,342.1,344.93,Low
JUNIORBEES,424.27,422.02,426.51,Low
JUSTDIAL,696.45,697.15,695.75,Low
JWL,114.23,113.9,114.57,Low
JYOTHYLAB,210.1,210.35,209.85,Low
JYOTISTRUC,6.32,6.3,6.33,High
KABRAEXTRU,487.43,487.95,486.92,Low
KAJARIACER,1183.37,1178.97,1187.76,Low
KAKATCEM,205.9,205.72,206.08,Low
KALPATPOWR,520.72,520.62,520.81,High
KALYANIFRG,261.42,261.5,261.33,High
KALYANKJIL,105.37,105.65,105.08,Low
KAMATHOTEL,181.77,182.4,181.13,Low
KAMDHENU,325.02,326.0,324.03,Low
KAMOPAINTS,237.42,237.72,237.11,Low
KANANIIND,8.53,8.57,8.49,High
KANDARP,19.55,19.5,19.6,High
KANORICHEM,114.9,114.8,115.0,High
KANPRPLA,88.1,88.05,88.15,High
KANSAINER,410.92,412.18,409.66,Low
KAPSTON,129.38,129.5,129.27,High
KARMAENG,32.83,33.08,32.59,Low
KARURVYSYA,105.0,105.0,105.0,High
KAUSHALYA,4.02,3.98,4.06,High
KAYA,337.5,338.4,336.6,Low
KAYNES,1177.93,1173.5,1182.37,Low
KBCGLOBAL,2.78,2.75,2.82,High
KCK,24.0,24.0,24.0,High
KCP,104.73,104.67,104.79,High
KCPSUGIND,24.88,24.8,24.97,High
KDDL,1080.2,1091.0,1069.4,Low
KEC,523.15,514.88,531.42,Low
KECL,112.6,113.15,112.05,Low
KEEPLEARN,3.88,3.9,3.87,High
KEI,1996.67,1982.53,2010.81,Low
KELLTONTEC,59.48,59.5,59.47,High
KENNAMET,2282.12,2280.43,2283.81,Low
KERNEX,265.53,265.73,265.34,Low
KESORAMIND,63.75,63.8,63.7,High
KEYFINSERV,95.6,95.4,95.8,Low
KFINTECH,340.9,340.58,341.23,Low
KHADIM,222.73,222.72,222.74,High
KHAICHEM,73.1,72.95,73.25,Low
KHAITANLTD,44.92,44.42,45.41,Low
KHANDSE,38.75,39.25,38.25,Low
KHFM,48.95,48.85,49.05,High
KICL,1786.13,1785.5,1786.77,Low
KILITCH,219.5,219.88,219.12,Low
KIMS,1538.67,1539.4,1537.93,Low
KINGFA,1773.87,1765.5,1782.23,Low
KIOCL,187.22,187.62,186.81,Low
KIRIINDUS,290.97,291.3,290.63,Low
KIRLFER,436.18,437.57,434.79,Low
KIRLOSBROS,566.08,567.17,564.99,Low
KIRLOSENG,415.78,416.85,414.72,Low
KIRLOSIND,2566.2,2568.47,2563.93,Low
KIRLPNU,579.55,578.45,580.65,Low
KITEX,158.78,158.8,158.77,High
KKCL,497.57,496.25,498.88,Low
KMSUGAR,27.57,27.48,27.66,High
KNAGRI,115.0,115.0,115.0,High
KNRCON,240.87,241.0,240.73,Low
KOHINOOR,39.32,39.25,39.38,High
KOKUYOCMLN,95.27,94.53,96.01,Low
KOLTEPATIL,281.27,279.9,282.63,Low
KOPRAN,147.0,146.55,147.45,Low
KORE,220.0,220.0,220.0,High
KOTAKALPHA,27.26,27.23,27.28,High
KOTAKBANK,1937.33,1935.17,1939.49,Low
KOTAKBKETF,444.93,444.31,445.54,Low
KOTAKCONS,76.56,76.62,76.49,High
KOTAKGOLD,51.65,51.64,51.65,High
KOTAKIT,29.2,29.16,29.25,High
KOTAKLOVOL,13.75,13.73,13.77,High
KOTAKMID50,93.49,93.25,93.72,Low
KOTAKMNC,20.72,20.62,20.81,High
KOTAKNIFTY,194.15,193.99,194.32,Low
KOTAKNV20,104.16,103.98,104.34,Low
KOTAKPSUBK,392.16,392.25,392.08,High
KOTAKSILVE,72.07,71.91,72.24,Low
KOTARISUG,37.73,37.73,37.74,High
KOTHARIPET,63.47,63.5,63.43,High
KOTHARIPRO,114.75,114.53,114.97,Low
KOTYARK,476.48,476.75,476.22,Low
KOVAI,1985.58,1986.88,1984.29,Low
KPIGREEN,529.75,527.98,531.52,Low
KPITTECH,941.58,940.5,942.67,Low
KPRMILL,572.98,572.77,573.19,Low
KRBL,410.18,409.08,411.29,Low
KREBSBIO,64.98,65.05,64.92,High
KRIDHANINF,2.33,2.35,2.32,High
KRISHANA,455.6,458.0,453.2,Low
KRISHIVAL,271.0,271.0,271.0,High
KRISHNADEF,177.95,178.43,177.48,Low
KRITI,105.38,105.85,104.92,Low
KRITIKA,15.0,14.97,15.03,High
KRITINUT,47.0,47.2,46.8,Low
KRSNAA,550.48,546.83,554.14,Low
KSB,2142.15,2142.45,2141.85,Low
KSCL,516.05,517.45,514.65,Low
KSHITIJPOL,11.3,11.3,11.3,High
KSL,325.0,325.43,324.57,Low
KSOLVES,888.52,875.35,901.68,Low
KTKBANK,136.22,136.65,135.78,Low
KUANTUM,171.1,171.38,170.82,Low
L&TFH,99.07,98.78,99.36,Low
L&TFINANCE,1010.0,1010.0,1010.0,High
L&TFINANCE,1084.04,1084.62,1083.45,Low
L&TFINANCE,1043.17,1042.75,1043.58,Low
L&TFINANCE,1015.0,1015.0,1015.0,High
L&TFINANCE,1065.0,1065.0,1065.0,High
LAGNAM,48.93,49.05,48.82,High
LAL,185.78,187.0,184.57,Low
LALPATHLAB,1953.58,1960.3,1946.87,Low
LAMBODHARA,209.78,210.22,209.34,Low
LANDMARK,668.42,668.08,668.76,Low
LAOPALA,385.53,384.85,386.22,Low
LASA,23.83,23.92,23.74,High
LATENTVIEW,325.95,325.65,326.25,Low
LATTEYS,37.15,37.15,37.15,High
LAURUSLABS,311.08,310.43,311.74,Low
LAXMICOT,21.02,21.15,20.88,Low
LAXMIMACH,11246.12,11251.83,11240.41,Low
LCCINFOTEC,1.72,1.73,1.71,High
LEMERITE,53.33,53.5,53.17,Low
LEMONTREE,95.18,95.35,95.02,Low
LEXUS,70.15,70.43,69.88,Low
