SYMBOL,PIVOT,BOTTOMCPR,TOPCPR,MOMENTUMOFSTOCK
AMIORG,1165.68,1168.17,1163.19,Low
AMJLAND,23.78,23.9,23.67,High
AMRUTANJAN,600.37,601.08,599.66,Low
ANANDRATHI,857.57,855.12,860.01,Low
ANANTRAJ,145.22,145.2,145.23,High
ANDHRAPAP,455.67,455.82,455.51,Low
ANDHRSUGAR,116.12,116.17,116.06,High
ANDREWYU,22.95,22.93,22.97,High
ANGELONE,1205.37,1210.1,1200.63,Low
ANIKINDS,31.57,31.62,31.51,High
ANLON,213.98,215.97,211.99,Low
ANMOL,235.03,235.88,234.19,Low
ANNAPURNA,268.78,270.27,267.29,Low
ANSALAPI,9.78,9.85,9.72,High
ANTGRAPHIC,0.67,0.68,0.66,High
ANUP,1435.65,1442.25,1429.05,Low
ANURAS,1186.32,1180.62,1192.01,Low
APARINDS,2709.3,2705.53,2713.07,Low
APCL,177.72,177.93,177.51,Low
APCOTEXIND,482.35,481.1,483.6,Low
APEX,197.6,197.73,197.48,Low
APLAPOLLO,1099.48,1102.88,1096.09,Low
APLLTD,553.5,554.58,552.42,Low
APOLLO,32.88,32.9,32.87,High
APOLLOHOSP,4440.8,4437.62,4443.98,Low
APOLLOPIPE,626.5,627.35,625.65,Low
APOLLOTYRE,366.42,366.02,366.81,Low
APOLSINHOT,1401.07,1412.9,1389.23,Low
APTECHT,478.9,479.75,478.05,Low
APTUS,264.47,264.85,264.08,Low
ARCHIDPLY,67.73,67.75,67.72,High
ARCHIES,19.65,19.57,19.73,High
ARENTERP,33.23,33.08,33.39,Low
ARHAM,66.5,64.95,68.05,Low
ARIES,172.28,173.02,171.54,Low
ARIHANTCAP,37.47,37.62,37.31,Low
ARIHANTSUP,214.78,215.43,214.14,Low
ARISTO,62.33,62.5,62.17,Low
ARMANFIN,1525.17,1530.22,1520.11,Low
AROGRANITE,41.78,41.73,41.84,High
ARROWGREEN,273.93,271.73,276.14,Low
ARSHIYA,6.23,6.28,6.19,High
